Date,Ticker,simple_return
2020-03-24,AXP,0.21891171397208709
2002-10-11,AKAM,0.2191780821917808
2010-08-04,BKNG,0.2194659851956291
2002-11-19,A,0.22017220172201712
2009-03-13,AIG,0.2213592233009707
2020-04-29,APA,0.22234273318872
2007-08-08,BKNG,0.22236102435977512
2008-09-30,AMD,0.22377622377622375
2002-10-18,AES,0.22388059701492513
2008-07-16,BAC,0.22408759124087596
2009-04-13,AIG,0.22427983539094654
2026-02-11,BWA,0.2245276028158576
2009-03-18,BAC,0.2247422680412372
2008-09-19,BAC,0.22530329289428086
2009-01-21,BK,0.22542901716068653
2008-09-22,AIG,0.2258264462809918
2002-11-22,AMT,0.2264150943396226
2001-01-18,AMD,0.22648648648648662
2008-10-28,BWA,0.22708039492242582
2009-03-18,C,0.22719913653534785
2000-06-21,AKAM,0.22744680851063825
2006-07-27,AKAM,0.22766666666666668
2001-01-03,AKAM,0.2278481012658229
2000-04-06,AKAM,0.22836363636363632
2020-03-24,AVY,0.22867945665873135
2002-03-04,AKAM,0.2288401253918495
2000-04-18,BKNG,0.22928257686676412
2008-09-30,BK,0.22942502818489285
2007-11-09,BKNG,0.23037028102762047
2001-01-03,BBY,0.23289665211062593
2000-02-14,APH,0.2333333333333334
2002-10-24,AMT,0.23529411764705865
2002-01-22,AMZN,0.23529411764705888
2020-06-05,APA,0.23597506678539637
2025-10-06,AMD,0.23708022104815707
2002-11-20,AKAM,0.23770491803278682
2025-04-09,AMD,0.23820483314154206
2009-07-10,AIG,0.23825503355704702
2001-01-03,ADBE,0.23987941429801896
2008-09-19,C,0.24023453629531755
2008-10-13,AES,0.24024640657084184
2012-07-26,AKAM,0.2403539823008849
2002-10-17,AMD,0.24068767908309452
2009-07-13,AIG,0.24119241192411933
2020-03-25,BA,0.2431860902255638
2002-10-11,AES,0.2432432432432432
2007-07-25,AMZN,0.24566473988439297
2002-11-21,AMT,0.24705882352941178
2008-11-24,BK,0.24784853700516352
2002-07-16,AMT,0.2484472049689439
2009-04-13,C,0.25
2001-04-05,AKAM,0.25
2000-12-27,BKNG,0.2500000000000002
2000-05-30,AKAM,0.25125125125125125
2022-11-17,BBWI,0.25207756232686984
2001-01-03,AMAT,0.25576519916142537
2001-01-11,BKNG,0.25697865353037774
2001-03-05,AMZN,0.26
2009-03-23,BAC,0.26096033402922747
2005-11-03,BKNG,0.26107347576862927
2019-10-22,BIIB,0.2611068855979599
2008-10-13,BSX,0.2612859097127225
2002-10-21,AMD,0.26136363636363624
2020-03-25,AFL,0.2615384615384615
2001-02-23,BKNG,0.26188490408673903
2001-05-02,AKAM,0.26211453744493407
2003-07-25,BKNG,0.2621828433346758
2009-02-06,BAC,0.2647058823529411
2002-11-25,AES,0.2654867256637168
2004-02-05,AKAM,0.26637554585152845
2009-10-23,AMZN,0.2676659528907923
2007-04-25,AMZN,0.26785714285714257
2020-01-07,APA,0.26791419443176645
2009-08-27,AIG,0.2693119459687632
2008-10-13,BKR,0.26946847960445
2008-11-24,BAC,0.27136258660508084
2003-05-05,AKAM,0.2734375
2001-01-03,AMZN,0.2753623188405798
2009-03-10,BAC,0.2793103448275862
2008-11-07,AES,0.2819905213270144
2002-10-23,AMT,0.28301886792452824
2002-06-12,AES,0.28634361233480177
2001-01-03,BKNG,0.2891566265060239
2001-06-06,BKNG,0.2956170345041964
2020-03-24,APA,0.2964959568733152
2000-12-08,BKNG,0.29990966576332423
2009-03-18,AFL,0.3022388059701493
2002-08-22,AES,0.305194805194805
2001-11-14,AMZN,0.3055555555555556
2000-04-18,AKAM,0.30714285714285716
2000-10-19,AKAM,0.3075780089153044
2009-03-16,C,0.30898021308980206
2009-01-21,BAC,0.3096446700507616
2009-01-21,C,0.3108632395732298
2003-03-19,BKNG,0.3122119815668203
2008-09-18,AIG,0.3123787349631355
2003-05-02,BKNG,0.32523230879199416
2008-09-30,AIG,0.33184855233853017
2001-04-09,AMZN,0.3333333333333335
